timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.holidays,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:05 (GMT)","08:10 (GMT)","12:20 (GMT)","14:08 (GMT)","16:31 (GMT)","16:31 (GMT)","18:29 (GMT)","05:55 (GMT)","00:21 (GMT)","21:44 (GMT)","02:57 (GMT)","21 Jan 2025",1737450061,21-01-2025,DD-MM-YYYY,21,Tuesday,1,January,2025,AD,"Anno Domini",,21-07-1446,DD-MM-YYYY,21,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:04 (GMT)","08:09 (GMT)","12:21 (GMT)","14:10 (GMT)","16:33 (GMT)","16:33 (GMT)","18:30 (GMT)","05:54 (GMT)","00:21 (GMT)","21:45 (GMT)","02:57 (GMT)","22 Jan 2025",1737536461,22-01-2025,DD-MM-YYYY,22,Wednesday,1,January,2025,AD,"Anno Domini",,22-07-1446,DD-MM-YYYY,22,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:03 (GMT)","08:07 (GMT)","12:21 (GMT)","14:11 (GMT)","16:35 (GMT)","16:35 (GMT)","18:32 (GMT)","05:53 (GMT)","00:21 (GMT)","21:46 (GMT)","02:57 (GMT)","23 Jan 2025",1737622861,23-01-2025,DD-MM-YYYY,23,Thursday,1,January,2025,AD,"Anno Domini",,23-07-1446,DD-MM-YYYY,23,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:02 (GMT)","08:06 (GMT)","12:21 (GMT)","14:13 (GMT)","16:37 (GMT)","16:37 (GMT)","18:34 (GMT)","05:52 (GMT)","00:21 (GMT)","21:47 (GMT)","02:56 (GMT)","24 Jan 2025",1737709261,24-01-2025,DD-MM-YYYY,24,Friday,1,January,2025,AD,"Anno Domini",,24-07-1446,DD-MM-YYYY,24,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:01 (GMT)","08:05 (GMT)","12:21 (GMT)","14:14 (GMT)","16:39 (GMT)","16:39 (GMT)","18:35 (GMT)","05:51 (GMT)","00:22 (GMT)","21:47 (GMT)","02:56 (GMT)","25 Jan 2025",1737795661,25-01-2025,DD-MM-YYYY,25,Saturday,1,January,2025,AD,"Anno Domini",,25-07-1446,DD-MM-YYYY,25,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:00 (GMT)","08:03 (GMT)","12:21 (GMT)","14:16 (GMT)","16:41 (GMT)","16:41 (GMT)","18:37 (GMT)","05:50 (GMT)","00:22 (GMT)","21:48 (GMT)","02:56 (GMT)","26 Jan 2025",1737882061,26-01-2025,DD-MM-YYYY,26,Sunday,1,January,2025,AD,"Anno Domini",,26-07-1446,DD-MM-YYYY,26,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"05:59 (GMT)","08:02 (GMT)","12:22 (GMT)","14:17 (GMT)","16:43 (GMT)","16:43 (GMT)","18:38 (GMT)","05:49 (GMT)","00:22 (GMT)","21:49 (GMT)","02:55 (GMT)","27 Jan 2025",1737968461,27-01-2025,DD-MM-YYYY,27,Monday,1,January,2025,AD,"Anno Domini",,27-07-1446,DD-MM-YYYY,27,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",Lailat-ul-Miraj,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"05:58 (GMT)","08:00 (GMT)","12:22 (GMT)","14:19 (GMT)","16:44 (GMT)","16:44 (GMT)","18:40 (GMT)","05:48 (GMT)","00:22 (GMT)","21:50 (GMT)","02:55 (GMT)","28 Jan 2025",1738054861,28-01-2025,DD-MM-YYYY,28,Tuesday,1,January,2025,AD,"Anno Domini",,28-07-1446,DD-MM-YYYY,28,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"05:57 (GMT)","07:59 (GMT)","12:22 (GMT)","14:20 (GMT)","16:46 (GMT)","16:46 (GMT)","18:41 (GMT)","05:47 (GMT)","00:22 (GMT)","21:50 (GMT)","02:54 (GMT)","29 Jan 2025",1738141261,29-01-2025,DD-MM-YYYY,29,Wednesday,1,January,2025,AD,"Anno Domini",,29-07-1446,DD-MM-YYYY,29,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"05:55 (GMT)","07:57 (GMT)","12:22 (GMT)","14:22 (GMT)","16:48 (GMT)","16:48 (GMT)","18:43 (GMT)","05:45 (GMT)","00:23 (GMT)","21:51 (GMT)","02:54 (GMT)","30 Jan 2025",1738227661,30-01-2025,DD-MM-YYYY,30,Thursday,1,January,2025,AD,"Anno Domini",,30-07-1446,DD-MM-YYYY,30,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
